"Chronic Absenteeism, 2017-18"
"All Districts, All Students"

"District","District Code","% Chronically Absent"
"Achievement First Hartford Academy Inc. District","=""2880013""",6.5
"Amistad Academy District","=""2790013""",7.4
"Andover School District","=""0010011""","*"
"Ansonia School District","=""0020011""",18.8
"Area Cooperative Educational Services","=""2440014""",22.8
"Ashford School District","=""0030011""",7.0
"Avon School District","=""0040011""",3.6
"Barkhamsted School District","=""0050011""",3.1
"Berlin School District","=""0070011""",3.7
"Bethany School District","=""0080011""",6.2
"Bethel School District","=""0090011""",5.5
"Bloomfield School District","=""0110011""",7.3
"Bolton School District","=""0120011""",6.5
"Booker T. Washington Academy District","=""2950013""",12.2
"Bozrah School District","=""0130011""",3.2
"Branford School District","=""0140011""",9.5
"Brass City Charter School District","=""2900013""",5.0
"Bridgeport Achievement First District","=""2850013""",6.1
"Bridgeport School District","=""0150011""",19.3
"Bristol School District","=""0170011""",8.4
"Brookfield School District","=""0180011""",4.7
"Brooklyn School District","=""0190011""",6.1
"Canaan School District","=""0210011""",9.0
"Canterbury School District","=""0220011""",5.3
"Canton School District","=""0230011""",6.1
"Capital Preparatory Harbor School Inc. District","=""2970013""",6.4
"Capitol Region Education Council","=""2410014""",16.1
"Chaplin School District","=""0240011""",5.8
"Cheshire School District","=""0250011""",5.0
"Chester School District","=""0260011""","*"
"Clinton School District","=""0270011""",7.1
"Colchester School District","=""0280011""",7.4
"Colebrook School District","=""0290011""","*"
"Columbia School District","=""0300011""",3.5
"Common Ground High School District","=""2680013""",15.5
"Connecticut Technical Education and Career System","=""9000016""",12.9
"Cooperative Educational Services","=""2430014""",21.0
"Cornwall School District","=""0310011""","*"
"Coventry School District","=""0320011""",10.5
"Cromwell School District","=""0330011""",4.4
"Danbury School District","=""0340011""",7.3
"Darien School District","=""0350011""",3.7
"Deep River School District","=""0360011""","*"
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",11.5
"East Granby School District","=""0400011""",5.0
"East Haddam School District","=""0410011""",6.7
"East Hampton School District","=""0420011""",6.2
"East Hartford School District","=""0430011""",16.4
"East Haven School District","=""0440011""",14.9
"East Lyme School District","=""0450011""",5.4
"East Windsor School District","=""0470011""",12.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",35.8
"Eastford School District","=""0390011""","*"
"Easton School District","=""0460011""",4.3
"EdAdvance","=""2420014""","*"
"Ellington School District","=""0480011""",6.5
"Elm City College Preparatory School District","=""2890013""",6.7
"Elm City Montessori School District","=""2910013""",11.1
"Enfield School District","=""0490011""",11.3
"Essex School District","=""0500011""",3.5
"Explorations District","=""2720013""",37.5
"Fairfield School District","=""0510011""",5.3
"Farmington School District","=""0520011""",4.9
"Franklin School District","=""0530011""","*"
"Glastonbury School District","=""0540011""",3.1
"Granby School District","=""0560011""",5.0
"Great Oaks Charter School District","=""2940013""",18.0
"Greenwich School District","=""0570011""",4.6
"Griswold School District","=""0580011""",13.1
"Groton School District","=""0590011""",11.6
"Guilford School District","=""0600011""",4.8
"Hamden School District","=""0620011""",15.0
"Hampton School District","=""0630011""",8.6
"Hartford School District","=""0640011""",25.3
"Hartland School District","=""0650011""","*"
"Hebron School District","=""0670011""",2.7
"Highville Charter School District","=""2860013""",10.4
"Integrated Day Charter School District","=""2640013""",4.4
"Interdistrict School for Arts and Comm District","=""2650013""",18.7
"Jumoke Academy District","=""2610013""",10.1
"Kent School District","=""0680011""",4.1
"Killingly School District","=""0690011""",13.6
"Learn","=""2450014""",17.7
"Lebanon School District","=""0710011""",6.9
"Ledyard School District","=""0720011""",5.1
"Lisbon School District","=""0730011""",5.1
"Litchfield School District","=""0740011""",4.6
"Madison School District","=""0760011""",2.4
"Manchester School District","=""0770011""",19.2
"Mansfield School District","=""0780011""",4.6
"Marlborough School District","=""0790011""",3.6
"Meriden School District","=""0800011""",15.1
"Middletown School District","=""0830011""",9.7
"Milford School District","=""0840011""",7.9
"Monroe School District","=""0850011""",5.0
"Montville School District","=""0860011""",8.4
"Naugatuck School District","=""0880011""",12.8
"New Beginnings Inc Family Academy District","=""2800013""",13.7
"New Britain School District","=""0890011""",22.2
"New Canaan School District","=""0900011""",2.4
"New Fairfield School District","=""0910011""",4.4
"New Hartford School District","=""0920011""",3.2
"New Haven School District","=""0930011""",19.9
"New London School District","=""0950011""",16.9
"New Milford School District","=""0960011""",8.0
"Newington School District","=""0940011""",6.4
"Newtown School District","=""0970011""",4.1
"Norfolk School District","=""0980011""",9.7
"North Branford School District","=""0990011""",5.3
"North Canaan School District","=""1000011""",9.5
"North Haven School District","=""1010011""",5.5
"North Stonington School District","=""1020011""",6.8
"Norwalk School District","=""1030011""",10.6
"Norwich Free Academy District","=""9010022""",16.8
"Norwich School District","=""1040011""",13.4
"Odyssey Community School District","=""2630013""",5.6
"Old Saybrook School District","=""1060011""",5.6
"Orange School District","=""1070011""",3.8
"Oxford School District","=""1080011""",10.5
"Park City Prep Charter School District","=""2830013""",7.5
"Path Academy District","=""2930013""",100.0
"Plainfield School District","=""1090011""",14.3
"Plainville School District","=""1100011""",9.3
"Plymouth School District","=""1110011""",9.9
"Pomfret School District","=""1120011""",4.6
"Portland School District","=""1130011""",5.9
"Preston School District","=""1140011""",7.3
"Putnam School District","=""1160011""",13.0
"Redding School District","=""1170011""",2.7
"Regional School District 01","=""2010012""",11.9
"Regional School District 04","=""2040012""",9.4
"Regional School District 05","=""2050012""",5.7
"Regional School District 06","=""2060012""",9.9
"Regional School District 07","=""2070012""",5.3
"Regional School District 08","=""2080012""",7.1
"Regional School District 09","=""2090012""",8.7
"Regional School District 10","=""2100012""",6.9
"Regional School District 11","=""2110012""",8.9
"Regional School District 12","=""2120012""",8.8
"Regional School District 13","=""2130012""",5.4
"Regional School District 14","=""2140012""",8.7
"Regional School District 15","=""2150012""",4.1
"Regional School District 16","=""2160012""",6.7
"Regional School District 17","=""2170012""",3.7
"Regional School District 18","=""2180012""",6.4
"Regional School District 19","=""2190012""",5.9
"Ridgefield School District","=""1180011""",6.3
"Rocky Hill School District","=""1190011""",4.6
"Salem School District","=""1210011""",2.6
"Salisbury School District","=""1220011""",7.6
"Scotland School District","=""1230011""","*"
"Seymour School District","=""1240011""",9.6
"Sharon School District","=""1250011""",7.3
"Shelton School District","=""1260011""",10.1
"Sherman School District","=""1270011""",5.7
"Side By Side Charter School District","=""2700013""",7.7
"Simsbury School District","=""1280011""",5.1
"Somers School District","=""1290011""",11.5
