"District","FIPS","Year","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2011-2012","Chronically Absent Students","Percent","1.4"
"Achievement First Bridgeport Academy District","","2012-2013","Chronically Absent Students","Percent","2.5"
"Achievement First Bridgeport Academy District","","2013-2014","Chronically Absent Students","Percent","2.9"
"Achievement First Bridgeport Academy District","","2014-2015","Chronically Absent Students","Percent","3.2"
"Achievement First Bridgeport Academy District","","2015-2016","Chronically Absent Students","Percent","4.7"
"Achievement First Bridgeport Academy District","","2016-2017","Chronically Absent Students","Percent","5.5"
"Achievement First Hartford Academy District","","2011-2012","Chronically Absent Students","Percent","8.1"
"Achievement First Hartford Academy District","","2012-2013","Chronically Absent Students","Percent","3.4"
"Achievement First Hartford Academy District","","2013-2014","Chronically Absent Students","Percent","6.1"
"Achievement First Hartford Academy District","","2014-2015","Chronically Absent Students","Percent","10.6"
"Achievement First Hartford Academy District","","2015-2016","Chronically Absent Students","Percent","10.1"
"Achievement First Hartford Academy District","","2016-2017","Chronically Absent Students","Percent","9.1"
"Amistad Academy District","","2011-2012","Chronically Absent Students","Percent","2.6"
"Amistad Academy District","","2012-2013","Chronically Absent Students","Percent","2.6"
"Amistad Academy District","","2013-2014","Chronically Absent Students","Percent","3.5"
"Amistad Academy District","","2014-2015","Chronically Absent Students","Percent","5.3"
"Amistad Academy District","","2015-2016","Chronically Absent Students","Percent","5.3"
"Amistad Academy District","","2016-2017","Chronically Absent Students","Percent","5.6"
"Andover School District","","2011-2012","Chronically Absent Students","Percent","-9999"
"Andover School District","","2012-2013","Chronically Absent Students","Percent","3.8"
"Andover School District","","2013-2014","Chronically Absent Students","Percent","-9999"
"Andover School District","","2014-2015","Chronically Absent Students","Percent","-9999"
"Andover School District","","2015-2016","Chronically Absent Students","Percent","-9999"
"Andover School District","","2016-2017","Chronically Absent Students","Percent","3.5"
"Ansonia School District","900901220","2011-2012","Chronically Absent Students","Percent","12.2"
"Ansonia School District","900901220","2012-2013","Chronically Absent Students","Percent","14.3"
"Ansonia School District","900901220","2013-2014","Chronically Absent Students","Percent","11.3"
"Ansonia School District","900901220","2014-2015","Chronically Absent Students","Percent","16.3"
"Ansonia School District","900901220","2015-2016","Chronically Absent Students","Percent","14.5"
"Ansonia School District","900901220","2016-2017","Chronically Absent Students","Percent","18.0"
"Area Cooperative Educational Services","","2011-2012","Chronically Absent Students","Percent","18.5"
"Area Cooperative Educational Services","","2012-2013","Chronically Absent Students","Percent","19.5"
"Area Cooperative Educational Services","","2013-2014","Chronically Absent Students","Percent","21.7"
"Area Cooperative Educational Services","","2014-2015","Chronically Absent Students","Percent","20.6"
"Area Cooperative Educational Services","","2015-2016","Chronically Absent Students","Percent","18.2"
"Area Cooperative Educational Services","","2016-2017","Chronically Absent Students","Percent","19.3"
"Ashford School District","","2011-2012","Chronically Absent Students","Percent","9.5"
"Ashford School District","","2012-2013","Chronically Absent Students","Percent","7.2"
"Ashford School District","","2013-2014","Chronically Absent Students","Percent","7.8"
"Ashford School District","","2014-2015","Chronically Absent Students","Percent","6.8"
"Ashford School District","","2015-2016","Chronically Absent Students","Percent","5.1"
"Ashford School District","","2016-2017","Chronically Absent Students","Percent","7.0"
"Avon School District","900302060","2011-2012","Chronically Absent Students","Percent","4.3"
"Avon School District","900302060","2012-2013","Chronically Absent Students","Percent","5.0"
"Avon School District","900302060","2013-2014","Chronically Absent Students","Percent","4.9"
"Avon School District","900302060","2014-2015","Chronically Absent Students","Percent","3.0"
"Avon School District","900302060","2015-2016","Chronically Absent Students","Percent","4.5"
"Avon School District","900302060","2016-2017","Chronically Absent Students","Percent","5.6"
"Barkhamsted School District","","2011-2012","Chronically Absent Students","Percent","3.2"
"Barkhamsted School District","","2012-2013","Chronically Absent Students","Percent","4.0"
"Barkhamsted School District","","2013-2014","Chronically Absent Students","Percent","3.5"
"Barkhamsted School District","","2014-2015","Chronically Absent Students","Percent","2.0"
"Barkhamsted School District","","2015-2016","Chronically Absent Students","Percent","4.2"
"Barkhamsted School District","","2016-2017","Chronically Absent Students","Percent","3.8"
"Berlin School District","","2011-2012","Chronically Absent Students","Percent","5.8"
"Berlin School District","","2012-2013","Chronically Absent Students","Percent","5.7"
"Berlin School District","","2013-2014","Chronically Absent Students","Percent","4.9"
"Berlin School District","","2014-2015","Chronically Absent Students","Percent","6.0"
"Berlin School District","","2015-2016","Chronically Absent Students","Percent","3.7"
"Berlin School District","","2016-2017","Chronically Absent Students","Percent","11.8"
"Bethany School District","","2011-2012","Chronically Absent Students","Percent","3.1"
"Bethany School District","","2012-2013","Chronically Absent Students","Percent","5.6"
"Bethany School District","","2013-2014","Chronically Absent Students","Percent","4.9"
"Bethany School District","","2014-2015","Chronically Absent Students","Percent","5.0"
"Bethany School District","","2015-2016","Chronically Absent Students","Percent","5.2"
"Bethany School District","","2016-2017","Chronically Absent Students","Percent","6.1"
"Bethel School District","900104720","2011-2012","Chronically Absent Students","Percent","6.1"
"Bethel School District","900104720","2012-2013","Chronically Absent Students","Percent","6.8"
"Bethel School District","900104720","2013-2014","Chronically Absent Students","Percent","7.3"
"Bethel School District","900104720","2014-2015","Chronically Absent Students","Percent","4.5"
"Bethel School District","900104720","2015-2016","Chronically Absent Students","Percent","7.0"
"Bethel School District","900104720","2016-2017","Chronically Absent Students","Percent","4.3"
"Bloomfield School District","900305910","2011-2012","Chronically Absent Students","Percent","7.5"
"Bloomfield School District","900305910","2012-2013","Chronically Absent Students","Percent","7.9"
"Bloomfield School District","900305910","2013-2014","Chronically Absent Students","Percent","7.7"
"Bloomfield School District","900305910","2014-2015","Chronically Absent Students","Percent","9.0"
"Bloomfield School District","900305910","2015-2016","Chronically Absent Students","Percent","8.9"
"Bloomfield School District","900305910","2016-2017","Chronically Absent Students","Percent","8.5"
"Bolton School District","901306260","2011-2012","Chronically Absent Students","Percent","2.6"
"Bolton School District","901306260","2012-2013","Chronically Absent Students","Percent","3.8"
"Bolton School District","901306260","2013-2014","Chronically Absent Students","Percent","5.2"
"Bolton School District","901306260","2014-2015","Chronically Absent Students","Percent","5.6"
"Bolton School District","901306260","2015-2016","Chronically Absent Students","Percent","3.3"
"Bolton School District","901306260","2016-2017","Chronically Absent Students","Percent","3.9"
"Booker T Washington Academy District","","2011-2012","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2012-2013","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2013-2014","Chronically Absent Students","Percent","-6666"
"Booker T Washington Academy District","","2014-2015","Chronically Absent Students","Percent","30.4"
"Booker T Washington Academy District","","2015-2016","Chronically Absent Students","Percent","20.2"
"Booker T Washington Academy District","","2016-2017","Chronically Absent Students","Percent","15.3"
"Bozrah School District","","2011-2012","Chronically Absent Students","Percent","5.3"
"Bozrah School District","","2012-2013","Chronically Absent Students","Percent","8.4"
"Bozrah School District","","2013-2014","Chronically Absent Students","Percent","7.3"
"Bozrah School District","","2014-2015","Chronically Absent Students","Percent","3.2"
"Bozrah School District","","2015-2016","Chronically Absent Students","Percent","5.4"
"Bozrah School District","","2016-2017","Chronically Absent Students","Percent","5.8"
"Branford School District","900907310","2011-2012","Chronically Absent Students","Percent","7.4"
"Branford School District","900907310","2012-2013","Chronically Absent Students","Percent","7.9"
"Branford School District","900907310","2013-2014","Chronically Absent Students","Percent","8.7"
"Branford School District","900907310","2014-2015","Chronically Absent Students","Percent","9.2"
"Branford School District","900907310","2015-2016","Chronically Absent Students","Percent","9.4"
"Branford School District","900907310","2016-2017","Chronically Absent Students","Percent","8.0"
"Brass City Charter School District","","2011-2012","Chronically Absent Students","Percent","-6666"
"Brass City Charter School District","","2012-2013","Chronically Absent Students","Percent","-6666"
"Brass City Charter School District","","2013-2014","Chronically Absent Students","Percent","12.3"
"Brass City Charter School District","","2014-2015","Chronically Absent Students","Percent","10.5"
"Brass City Charter School District","","2015-2016","Chronically Absent Students","Percent","7.4"
"Brass City Charter School District","","2016-2017","Chronically Absent Students","Percent","7.3"
"Bridgeport School District","900108070","2011-2012","Chronically Absent Students","Percent","19.6"
"Bridgeport School District","900108070","2012-2013","Chronically Absent Students","Percent","25.1"
"Bridgeport School District","900108070","2013-2014","Chronically Absent Students","Percent","21.2"
"Bridgeport School District","900108070","2014-2015","Chronically Absent Students","Percent","19.0"
"Bridgeport School District","900108070","2015-2016","Chronically Absent Students","Percent","17.4"
"Bridgeport School District","900108070","2016-2017","Chronically Absent Students","Percent","18.3"
"Bristol School District","900308490","2011-2012","Chronically Absent Students","Percent","11.5"
"Bristol School District","900308490","2012-2013","Chronically Absent Students","Percent","10.2"
"Bristol School District","900308490","2013-2014","Chronically Absent Students","Percent","11.8"
"Bristol School District","900308490","2014-2015","Chronically Absent Students","Percent","10.8"
"Bristol School District","900308490","2015-2016","Chronically Absent Students","Percent","8.7"
"Bristol School District","900308490","2016-2017","Chronically Absent Students","Percent","8.0"
"Brookfield School District","900108980","2011-2012","Chronically Absent Students","Percent","4.9"
